Parameter;Unit;Explanation;2020_emission-low;2030_syn-gas-high_emission-low;2030_syn-gas-low_emission-low;2050_syn-gas-high_emission-low
ScaleFactor_HP1;[-];1=500 kW;0.624148442;3.565428502;4.189889786;2.729703874
ScaleFactor_HP2;[-];1=500 kW;0.15603711;0.891357125;1.047472446;0.682425968
capP_el_chp;[kW];-;1350.194094;321.5610732;0;1381.818182
eta_el_chp;[-];-;0.38;0.38;0.38;0.38
eta_th_chp;[-];-;0.55;0.55;0.55;0.55
capP_el_electrolyser;[kW];-;0;0;0;0
capP_el_pv;[kW];-;0;0;0;0
capQ_th_boiler;[kW];-;0;0;0;0
h_tes;[m];-;3.2;3.2;3.2;3.2
d_tes;[m];-;20;20;20;20
